--- Execution profile ---
Total samples:         162969
Non-Java:              3461 (2.12%)
Unknown (native):      5550 (3.41%)
Not walkable (native): 26 (0.02%)
Unknown (Java):        20146 (12.36%)
Not walkable (Java):   475 (0.29%)
Deopt:                 6 (0.00%)

Frame buffer usage:    28.2024%

      events  percent  samples  top
        6982    0.00%        7  G1FreeCollectionSetTask::G1PrepareFreeCollectionSetClosure::do_heap_region(HeapRegion*)
        6979    0.00%        7  aa_label_next_confined_[k]
        6975    0.00%        7  reactor.core.publisher.MonoCreate$DefaultMonoSink.disposeResource
        6972    0.00%        7  io.netty.buffer.PoolChunk.value
        6969    0.00%        7  io.netty.channel.epoll.AbstractEpollChannel.doWriteBytes
        6968    0.00%        7  jdk.internal.math.FloatingDecimal.getBinaryToASCIIConverter
        6968    0.00%        7  RegisterMap::RegisterMap(JavaThread*, bool)
        6967    0.00%        7  io.rsocket.frame.FrameHeaderFlyweight.computeMetadataLength
        6960    0.00%        7  java.util.concurrent.ThreadPoolExecutor.runWorker
        6959    0.00%        7  __strchr_avx2
        6958    0.00%        7  sun.nio.cs.UTF_8$Encoder.encodeArrayLoop
        6956    0.00%        7  free_one_page_[k]
        6946    0.00%        7  nmethod::oops_do(OopClosure*, bool)
        6945    0.00%        7  JVM_NanoTime
        6933    0.00%        7  I2C/C2I adapters
        6923    0.00%        7  CardTable::clear(MemRegion)
        6918    0.00%        7  io.netty.buffer.PoolArena.reallocate
        6849    0.00%        7  G1STWIsAliveClosure::do_object_b(oopDesc*)
        6201    0.00%        6  __strchrnul_avx2
        6198    0.00%        6  __bitmap_and_[k]
        6196    0.00%        6  do_futex_[k]
        6183    0.00%        6  handle_irq_[k]
        6176    0.00%        6  java.util.concurrent.locks.LockSupport.parkNanos
        6176    0.00%        6  input_event_[k]
        6166    0.00%        6  i915_get_crtc_scanoutpos	[i915]_[k]
        6166    0.00%        6  sys_futex_[k]
        6166    0.00%        6  ntp_get_next_leap_[k]
        6154    0.00%        6  tick_do_update_jiffies64.part.10_[k]
        6152    0.00%        6  sock_write_iter_[k]
        6149    0.00%        6  tcp_cleanup_rbuf_[k]
        6140    0.00%        6  ep_item_poll.isra.10_[k]
        6139    0.00%        6  native_smp_send_reschedule_[k]
        6136    0.00%        6  account_process_tick_[k]
        6129    0.00%        6  tcp_init_tso_segs_[k]
        6125    0.00%        6  __mod_zone_page_state_[k]
        6106    0.00%        6  fsnotify_[k]
        6102    0.00%        6  tcp_rbtree_insert_[k]
        6090    0.00%        6  remove_entity_load_avg_[k]
        6084    0.00%        6  sock_recvmsg_[k]
        6065    0.00%        6  WatcherThread::sleep() const
        6065    0.00%        6  io.netty.buffer.PooledSlicedByteBuf.getShort
        6049    0.00%        6  irq_exit_[k]
        6042    0.00%        6  OopMapCache::lookup(methodHandle const&, int, InterpreterOopMap*)
        6037    0.00%        6  wq_worker_waking_up_[k]
        6030    0.00%        6  tcp_schedule_loss_probe_[k]
        6029    0.00%        6  G1CollectedHeap::free_region(HeapRegion*, FreeRegionList*, bool, bool, bool)
        6016    0.00%        6  tcp_rate_skb_sent_[k]
        6015    0.00%        6  entry_SYSCALL_64_stage2_[k]
        6014    0.00%        6  sun.nio.cs.UTF_8$Encoder.encodeLoop
        6011    0.00%        6  PhaseChaitin::merge_multidefs()
        6008    0.00%        6  java.io.Writer.write
        6007    0.00%        6  io.netty.buffer.AbstractByteBuf.checkNewCapacity
        6003    0.00%        6  CodeBlob::is_deoptimization_stub() const
        6001    0.00%        6  io.netty.buffer.AbstractByteBuf.checkRangeBounds
        5999    0.00%        6  io.netty.buffer.AbstractByteBuf.writerIndex
        5998    0.00%        6  G1GCPhaseTimes::reset()
        5996    0.00%        6  MutatorAllocRegion::retire_region(HeapRegion*, unsigned long)
        5994    0.00%        6  PathFrequency::to(Node*)
        5989    0.00%        6  __pthread_mutex_cond_lock
        5985    0.00%        6  vtable stub
        5984    0.00%        6  java.util.Formatter.parse
        5980    0.00%        6  io.netty.util.internal.PlatformDependent0.getShort
        5980    0.00%        6  ThreadLocalAllocBuffer::accumulate_statistics_before_gc()
        5978    0.00%        6  Method::bci_from(unsigned char*) const
        5977    0.00%        6  org.HdrHistogram.AbstractHistogram.init
        5975    0.00%        6  java.util.Formatter$FormatSpecifier.print
        5974    0.00%        6  io.netty.util.internal.PlatformDependent.getInt
        5971    0.00%        6  io.netty.buffer.AbstractByteBuf.writeBytes
        5952    0.00%        6  __pthread_mutex_lock
        5947    0.00%        6  reactor.core.publisher.Operators.addCap
        5206    0.00%        5  synaptics_report_buttons	[psmouse]_[k]
        5182    0.00%        5  ath10k_htt_t2h_msg_handler	[ath10k_core]_[k]
        5165    0.00%        5  _IO_str_init_static_internal
        5150    0.00%        5  _IO_old_init
        5139    0.00%        5  io.netty.buffer.PoolThreadCache.allocateNormal
        5137    0.00%        5  add_timer_randomness_[k]
        5136    0.00%        5  check_preempt_wakeup_[k]
        5134    0.00%        5  calc_global_load_[k]
        5131    0.00%        5  run_local_timers_[k]
        5130    0.00%        5  __xfrm_policy_check2.constprop.23_[k]
        5125    0.00%        5  __intel_get_crtc_scanline	[i915]_[k]
        5118    0.00%        5  irq_enter_[k]
        5118    0.00%        5  io.netty.util.internal.shaded.org.jctools.util.UnsafeRefArrayAccess.lvElement
        5117    0.00%        5  jio_vsnprintf
        5114    0.00%        5  hrtimer_start_range_ns_[k]
        5113    0.00%        5  netif_rx_[k]
        5112    0.00%        5  find_next_bit_[k]
        5106    0.00%        5  timerqueue_del_[k]
        5097    0.00%        5  synaptics_report_mt_data	[psmouse]_[k]
        5097    0.00%        5  nohz_balance_exit_idle.part.98_[k]
        5090    0.00%        5  dequeue_task_fair_[k]
        5088    0.00%        5  __netif_receive_skb_[k]
        5087    0.00%        5  notify_ring	[i915]_[k]
        5085    0.00%        5  __tasklet_hi_schedule_[k]
        5077    0.00%        5  tcp_rearm_rto_[k]
        5070    0.00%        5  java.lang.StringBuilder.<init>
        5069    0.00%        5  mutex_unlock_[k]
        5067    0.00%        5  can_migrate_task_[k]
        5065    0.00%        5  ParallelSPCleanupTask::work(unsigned int)
        5062    0.00%        5  java.lang.StringLatin1.newString
        5055    0.00%        5  GCTracer::send_metaspace_chunk_free_list_summary(GCWhen::Type, Metaspace::MetadataType, MetaspaceChunkFreeListSummary const&) const
        5049    0.00%        5  io.netty.util.ResourceLeakDetector.reportLeak
        5043    0.00%        5  validate_xmit_xfrm_[k]
        5042    0.00%        5  java.io.BufferedWriter.flushBuffer
        5040    0.00%        5  io.netty.util.internal.shaded.org.jctools.queues.BaseMpscLinkedArrayQueue.offer
        5038    0.00%        5  _itoa_word
        5031    0.00%        5  io.netty.channel.AdaptiveRecvByteBufAllocator$HandleImpl.record
        5029    0.00%        5  rt6_check_expired_[k]
        5028    0.00%        5  G1AllocRegion::new_alloc_region_and_allocate(unsigned long, bool)
        5027    0.00%        5  io.netty.buffer.AbstractByteBuf.ensureWritable
        5027    0.00%        5  ReferenceProcessorPhaseTimes::print_all_references(unsigned int, bool) const
        5025    0.00%        5  oopFactory::new_objArray(Klass*, int, Thread*)
        5016    0.00%        5  java.util.concurrent.locks.ReentrantLock$Sync.nonfairTryAcquire
        5013    0.00%        5  nmethod::total_size() const
        5003    0.00%        5  G1EvacPhaseWithTrimTimeTracker::~G1EvacPhaseWithTrimTimeTracker()
        5001    0.00%        5  io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead
        4999    0.00%        5  reactor.core.publisher.FluxInterval$IntervalRunnable.run
        4999    0.00%        5  Compile::identify_useful_nodes(Unique_Node_List&)
        4999    0.00%        5  io.rsocket.test.PingClient.lambda$startTracker$0
        4998    0.00%        5  io.netty.buffer.SimpleLeakAwareByteBuf.release
        4996    0.00%        5  G1CollectedHeap::do_collection_pause_at_safepoint(double)
        4995    0.00%        5  G1ParEvacuateFollowersClosure::do_void()
        4991    0.00%        5  PhaseChaitin::add_input_to_liveout(Block*, Node*, IndexSet*, double, PhaseChaitin::Pressure&, PhaseChaitin::Pressure&)
        4990    0.00%        5  G1ParScanThreadStateSet::flush()
        4988    0.00%        5  io.rsocket.transport.netty.SendPublisher$InnerSubscriber.tryRequestMoreUpstream
        4987    0.00%        5  G1EvacStats::log_plab_allocation()
        4986    0.00%        5  pthread_mutex_unlock
        4985    0.00%        5  org.HdrHistogram.AbstractHistogram.getMean
        4979    0.00%        5  os::elapsedTime()
        4976    0.00%        5  NMethodSweeper::possibly_flush(nmethod*)
        4975    0.00%        5  AllocateHeap(unsigned long, MemoryType, AllocFailStrategy::AllocFailEnum)
        4973    0.00%        5  ep_scan_ready_list.constprop.17_[k]
        4971    0.00%        5  PhaseLive::compute(unsigned int)
        4934    0.00%        5  GCMemoryManager::gc_begin(bool, bool, bool)
        4919    0.00%        5  G1CollectedHeap::post_evacuate_collection_set(EvacuationInfo&, G1ParScanThreadStateSet*)
        4137    0.00%        4  psmouse_handle_byte	[psmouse]_[k]
        4129    0.00%        4  G1YoungRemSetSamplingThread::run_service()
        4117    0.00%        4  put_prev_task_fair_[k]
        4114    0.00%        4  I2C/C2I adapters
        4109    0.00%        4  __update_idle_core_[k]
        4109    0.00%        4  tcp_filter_[k]
        4108    0.00%        4  rcu_advance_cbs_[k]
        4106    0.00%        4  gen8_cs_irq_handler	[i915]_[k]
        4089    0.00%        4  skb_put_[k]
        4088    0.00%        4  __update_load_avg_blocked_se.isra.37_[k]
        4087    0.00%        4  ttwu_do_activate_[k]
        4085    0.00%        4  iov_iter_init_[k]
        4084    0.00%        4  __radix_tree_lookup_[k]
        4083    0.00%        4  futex_wait_[k]
        4082    0.00%        4  aa_sk_perm_[k]
        4078    0.00%        4  skb_network_protocol_[k]
        4078    0.00%        4  sk_reset_timer_[k]
        4074    0.00%        4  _IO_setb
        4073    0.00%        4  minmax_running_min_[k]
        4071    0.00%        4  check_stack_object_[k]
        4069    0.00%        4  _raw_spin_trylock_[k]
        4068    0.00%        4  ttwu_do_wakeup_[k]
        4066    0.00%        4  tick_sched_handle_[k]
        4066    0.00%        4  __hrtimer_init_[k]
        4065    0.00%        4  do_IRQ_[k]
        4064    0.00%        4  note_interrupt_[k]
        4064    0.00%        4  rb_insert_color_cached_[k]
        4062    0.00%        4  mutex_lock_[k]
        4060    0.00%        4  lapic_next_deadline_[k]
        4058    0.00%        4  rcu_bh_qs_[k]
        4058    0.00%        4  tcp_add_backlog_[k]
        4057    0.00%        4  ThreadLocalAllocBuffer::resize_all_tlabs()
        4055    0.00%        4  io.netty.channel.epoll.EpollRecvByteAllocatorHandle.attemptedBytesRead
        4052    0.00%        4  load_balance_[k]
        4050    0.00%        4  G1EvacPhaseTimesTracker::G1EvacPhaseTimesTracker(G1GCPhaseTimes*, G1ParScanThreadState*, G1GCPhaseTimes::GCParPhases, unsigned int)
        4044    0.00%        4  __fsnotify_parent_[k]
        4040    0.00%        4  cpu_load_update_active_[k]
        4040    0.00%        4  org.HdrHistogram.AbstractHistogram.nextNonEquivalentValue
        4035    0.00%        4  java.util.Arrays.copyOf
        4034    0.00%        4  G1HeapSummary::accept(GCHeapSummaryVisitor*) const
        4032    0.00%        4  G1EdenPool::get_memory_usage()
        4031    0.00%        4  irq_entries_start_[k]
        4029    0.00%        4  __kfree_skb_flush_[k]
        4028    0.00%        4  os::PlatformEvent::unpark()
        4027    0.00%        4  G1GCParPhaseTimesTracker::~G1GCParPhaseTimesTracker()
        4020    0.00%        4  get_futex_key_refs.isra.13_[k]
        4015    0.00%        4  JavaThread::oops_do(OopClosure*, CodeBlobClosure*)
        4014    0.00%        4  void OopOopIterateBoundedDispatch<G1ScanObjsDuringUpdateRSClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, unsigned int>(G1ScanObjsDuringUpdateRSClosure*, oopDesc*, Klass*, MemRegion)
        4013    0.00%        4  RegMask::Size() const
        4012    0.00%        4  HeapRegionManager::iterate(HeapRegionClosure*) const
        4010    0.00%        4  java.lang.StrictMath.floorOrCeil
        4009    0.00%        4  java.util.concurrent.ScheduledThreadPoolExecutor.reExecutePeriodic
        4009    0.00%        4  skb_release_all_[k]
        4007    0.00%        4  java.util.Formatter$FormatSpecifier.print
        4006    0.00%        4  MetaspaceUtils::committed_bytes(Metaspace::MetadataType)
        4005    0.00%        4  java.io.PrintStream.format
        4002    0.00%        4  TypeInstPtr::make(TypePtr::PTR, ciKlass*, bool, ciObject*, int, int, TypePtr const*, int)
        4001    0.00%        4  /lib/x86_64-linux-gnu/libc-2.27.so
        3999    0.00%        4  G1CollectionSet::update_young_region_prediction(HeapRegion*, unsigned long)
        3997    0.00%        4  io.rsocket.RSocketClient.handleIncomingFrames
        3996    0.00%        4  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.signal
        3995    0.00%        4  PhaseChaitin::interfere_with_live(unsigned int, IndexSet*)
        3994    0.00%        4  java.io.PrintStream.format
        3994    0.00%        4  io.netty.buffer.PooledByteBuf.recycle
        3993    0.00%        4  InterpreterOopMap::iterate_oop(OffsetClosure*) const
        3990    0.00%        4  java.util.regex.Pattern$Branch.match
        3987    0.00%        4  HeapRegion::hr_clear(bool, bool, bool)
        3986    0.00%        4  jni_GetByteArrayRegion
        3986    0.00%        4  G1EvacuationRootClosures::create_root_closures(G1ParScanThreadState*, G1CollectedHeap*)
        3985    0.00%        4  io.netty.buffer.WrappedByteBuf.memoryAddress
        3984    0.00%        4  G1RemSet::refine_card_during_gc(signed char*, G1ScanObjsDuringUpdateRSClosure*) [clone .part.121]
        3983    0.00%        4  Node::clone() const
        3983    0.00%        4  VirtualSpace::committed_size() const
        3980    0.00%        4  PhaseChaitin::gather_lrg_masks(bool)
        3975    0.00%        4  G1Analytics::predict_rs_lengths() const
        3974    0.00%        4  java_lang_ref_SoftReference::clock()
        3974    0.00%        4  Thread::muxRelease(long volatile*)
        3972    0.00%        4  java.nio.CharBuffer.limit
        3970    0.00%        4  jdk.internal.math.FormattedFloatingDecimal.create
        3967    0.00%        4  MallocTracker::record_free(void*)
        3966    0.00%        4  CardTableBarrierSet::make_parsable(JavaThread*)
        3958    0.00%        4  vtable stub
        3958    0.00%        4  sock_sendmsg_[k]
        3955    0.00%        4  io.netty.buffer.AbstractByteBuf.checkReadableBounds
        3947    0.00%        4  HighResTimeSampler::take_sample()
        3942    0.00%        4  org.HdrHistogram.Recorder.performIntervalSample
        3942    0.00%        4  io.netty.buffer.AbstractByteBuf.ensureWritable0
        3941    0.00%        4  org.HdrHistogram.AbstractHistogram.<init>
        3913    0.00%        4  PhaseIdealLoop::build_loop_late(VectorSet&, Node_List&, Node_Stack&)
        3908    0.00%        4  PhaseChaitin::elide_copy(Node*, int, Block*, Node_List&, Node_List&, bool)
        3897    0.00%        4  jni_GetObjectField
        3858    0.00%        4  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node.setPrevRelaxed
        3147    0.00%        3  memcpy_erms_[k]
        3124    0.00%        3  ns_to_timeval_[k]
        3100    0.00%        3  ThreadsListHandle::ThreadsListHandle(Thread*)
        3097    0.00%        3  __enqueue_entity_[k]
        3096    0.00%        3  sysrq_filter_[k]
        3088    0.00%        3  account_system_index_time_[k]
        3080    0.00%        3  __kfree_skb_[k]
        3077    0.00%        3  tcp_chrono_stop_[k]
        3075    0.00%        3  drm_update_vblank_count	[drm]_[k]
        3074    0.00%        3  hrtimer_forward_[k]
        3071    0.00%        3  prepare_exit_to_usermode_[k]
        3069    0.00%        3  atomic_notifier_call_chain_[k]
        3066    0.00%        3  java.nio.CharBuffer.<init>
        3066    0.00%        3  sk_page_frag_refill_[k]
        3059    0.00%        3  GCHeapSummaryEventSender::visit(G1HeapSummary const*) const
        3057    0.00%        3  timerfd_get_remaining_[k]
        3056    0.00%        3  nmethod::is_nmethod() const
        3054    0.00%        3  sys_epoll_wait_[k]
        3054    0.00%        3  io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe$1.run
        3053    0.00%        3  __tcp_push_pending_frames_[k]
        3053    0.00%        3  sk_free_[k]
        3053    0.00%        3  ath10k_pci_ps_timer	[ath10k_pci]_[k]
        3053    0.00%        3  csum_ipv6_magic_[k]
        3053    0.00%        3  cgroup_cpu_stat_updated_[k]
        3052    0.00%        3  __tcp_ack_snd_check_[k]
        3050    0.00%        3  cpumask_next_and_[k]
        3048    0.00%        3  io.netty.util.internal.shaded.org.jctools.queues.ConcurrentCircularArrayQueue.calcElementOffset
        3047    0.00%        3  tcp_tx_timestamp_[k]
        3047    0.00%        3  fl6_update_dst_[k]
        3046    0.00%        3  futex_wait_queue_me_[k]
        3043    0.00%        3  rcu_report_qs_rnp_[k]
        3042    0.00%        3  __condvar_cancel_waiting
        3042    0.00%        3  drm_send_event_locked	[drm]_[k]
        3040    0.00%        3  skb_free_head_[k]
        3040    0.00%        3  JVMFlagEx::is_default(JVMFlags)
        3039    0.00%        3  aa_apply_modes_to_perms_[k]
        3038    0.00%        3  __kmalloc_reserve.isra.43_[k]
        3036    0.00%        3  gen8_write32	[i915]_[k]
        3035    0.00%        3  java.lang.Integer.stringSize
        3034    0.00%        3  SparsePRT::cleanup_all()
        3033    0.00%        3  java.util.Arrays.copyOf
        3031    0.00%        3  java.lang.invoke.VarForm.getMemberName
        3028    0.00%        3  G1Policy::record_collection_pause_end(double, unsigned long, unsigned long)
        3028    0.00%        3  java.lang.System.nanoTime
        3027    0.00%        3  RelocIterator::initialize(CompiledMethod*, unsigned char*, unsigned char*)
        3026    0.00%        3  GCTimer::register_gc_phase_start(char const*, TimeInstant<CompositeCounterRepresentation, CompositeElapsedCounterSource> const&)
        3026    0.00%        3  __memmove_sse2_unaligned
        3025    0.00%        3  G1GCPhaseTimes::print_evacuate_collection_set() const
        3025    0.00%        3  io.netty.util.concurrent.SingleThreadEventExecutor.execute
        3025    0.00%        3  io.netty.buffer.WrappedByteBuf.order
        3022    0.00%        3  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.checkInterruptWhileWaiting
        3022    0.00%        3  java.util.Formatter$FormatSpecifier.checkGeneral
        3021    0.00%        3  VM_CollectForAllocation::VM_CollectForAllocation(unsigned long, unsigned int, GCCause::Cause)
        3020    0.00%        3  IndexSetIterator::IndexSetIterator(IndexSet*)
        3020    0.00%        3  java.lang.String.valueOf
        3020    0.00%        3  rcu_accelerate_cbs_[k]
        3020    0.00%        3  sock_put_[k]
        3019    0.00%        3  G1HeapSizingPolicy::expansion_amount()
        3019    0.00%        3  io.netty.buffer.PooledSlicedByteBuf.getInt
        3019    0.00%        3  os::get_priority(Thread const*, ThreadPriority&)
        3017    0.00%        3  bool clean_if_nmethod_is_unloaded<CompiledIC>(CompiledIC*, unsigned char*, CompiledMethod*, bool, bool)
        3017    0.00%        3  java.util.concurrent.locks.ReentrantLock$Sync.isHeldExclusively
        3017    0.00%        3  Parker::park(bool, long)
        3016    0.00%        3  java.nio.charset.CharsetEncoder.encode
        3014    0.00%        3  rcu_cblist_dequeue_[k]
        3012    0.00%        3  G1CLDScanClosure::do_cld(ClassLoaderData*)
        3012    0.00%        3  GCCause::to_string(GCCause::Cause)
        3012    0.00%        3  getrusage_[k]
        3012    0.00%        3  CompactibleSpace::clear(bool)
        3011    0.00%        3  sun.nio.cs.StreamEncoder.implWrite
        3010    0.00%        3  Runtime1::is_instance_of(oopDesc*, oopDesc*)
        3010    0.00%        3  jni_GetArrayLength
        3007    0.00%        3  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<ObjArrayKlass, unsigned int>(G1ScanEvacuatedObjClosure*, oopDesc*, Klass*)
        3006    0.00%        3  io.netty.buffer.AbstractByteBuf.isReadOnly
        3005    0.00%        3  G1BlockOffsetTablePart::initialize_threshold_raw()
        3004    0.00%        3  CompositeElapsedCounterSource::now()
        3003    0.00%        3  MemoryService::oops_do(OopClosure*)
        3003    0.00%        3  G1OldGenPool::get_memory_usage()
        3003    0.00%        3  G1ParScanThreadStateSet::~G1ParScanThreadStateSet()
        3003    0.00%        3  sun.misc.Unsafe.getInt
        3002    0.00%        3  InterpreterFrameClosure::offset_do(int)
        3002    0.00%        3  SystemDictionary::check_signature_loaders(Symbol*, Handle, Handle, bool, Thread*)
        3002    0.00%        3  HeapRegionRemSet::cleanup()
        3002    0.00%        3  G1ParScanThreadStateSet::state_for_worker(unsigned int)
        3001    0.00%        3  JvmtiObjectAllocEventCollector::oops_do_for_all_threads(OopClosure*) [clone .part.122]
        3001    0.00%        3  ThreadStateTransition::transition_from_native(JavaThread*, JavaThreadState) [clone .constprop.195]
        3000    0.00%        3  org.HdrHistogram.PercentileIterator.next
        3000    0.00%        3  RefProcTotalPhaseTimesTracker::RefProcTotalPhaseTimesTracker(ReferenceProcessor::RefProcPhases, ReferenceProcessorPhaseTimes*, ReferenceProcessor*)
        3000    0.00%        3  VMThread::execute(VM_Operation*)
        2998    0.00%        3  java.util.Arrays.copyOfRange
        2998    0.00%        3  Dict::Insert(void*, void*, bool)
        2998    0.00%        3  sun.nio.cs.StreamEncoder.writeBytes
        2998    0.00%        3  io.netty.util.concurrent.FastThreadLocal.get
        2998    0.00%        3  io.netty.util.ReferenceCountUtil.release
        2997    0.00%        3  NodeHash::hash_find_insert(Node*)
        2997    0.00%        3  CodeHeapPool::get_memory_usage()
        2997    0.00%        3  frame::entry_frame_is_first() const
        2996    0.00%        3  SafepointSynchronize::end()
        2994    0.00%        3  wake_up_q_[k]
        2994    0.00%        3  G1Policy::revise_young_list_target_length_if_necessary(unsigned long)
        2993    0.00%        3  io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.executeEpollInReadyRunnable
        2993    0.00%        3  reactor.util.concurrent.MpscLinkedQueue.poll
        2993    0.00%        3  Compile::fill_buffer(CodeBuffer*, unsigned int*)
        2992    0.00%        3  PhaseIdealLoop::build_loop_early(VectorSet&, Node_List&, Node_Stack&)
        2990    0.00%        3  java.util.Formatter.format
        2990    0.00%        3  Node::Node(unsigned int)
        2989    0.00%        3  java.lang.invoke.MethodHandle.invokeBasic
        2989    0.00%        3  ScopeDesc::decode_body()
        2989    0.00%        3  ciObjectFactory::get_symbol(Symbol*)
        2988    0.00%        3  HandleMark::~HandleMark()
        2988    0.00%        3  GangWorker::loop()
        2987    0.00%        3  CodeHeap::allocated_capacity() const
        2982    0.00%        3  G1RefineCardClosure::do_card_ptr(signed char*, unsigned int)
        2978    0.00%        3  io.netty.buffer.AbstractByteBuf.setIndex
        2978    0.00%        3  Klass::start_of_vtable() const
        2978    0.00%        3  skb_csum_hwoffload_help_[k]
        2976    0.00%        3  G1Policy::record_collection_pause_start(double)
        2976    0.00%        3  PhaseIFG::init(unsigned int)
        2975    0.00%        3  SurvRateGroup::all_surviving_words_recorded(G1Predictions const&, bool)
        2973    0.00%        3  tcp_send_mss_[k]
        2971    0.00%        3  update_group_capacity_[k]
        2971    0.00%        3  ch.qos.logback.classic.Logger.isErrorEnabled
        2970    0.00%        3  Matcher::xform(Node*, int)
        2968    0.00%        3  GCTracer::send_phase_events(TimePartitions*) const
        2967    0.00%        3  java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireQueued
        2966    0.00%        3  java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.finishPoll
        2958    0.00%        3  PhaseIterGVN::remove_globally_dead_node(Node*)
        2953    0.00%        3  ThreadsListHandle::~ThreadsListHandle()
        2952    0.00%        3  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry.recycle
        2951    0.00%        3  G1KeepAliveClosure::do_oop(oopDesc**)
        2947    0.00%        3  InstanceKlass::mask_for(methodHandle const&, int, InterpreterOopMap*)
        2946    0.00%        3  ChunkPool::allocate(unsigned long, AllocFailStrategy::AllocFailEnum)
        2944    0.00%        3  org.HdrHistogram.Recorder.validateFitAsReplacementHistogram
        2942    0.00%        3  io.netty.buffer.PoolArena$DirectArena.memoryCopy
        2937    0.00%        3  java.util.concurrent.locks.AbstractQueuedSynchronizer.enq
        2912    0.00%        3  WorkGang::run_task(AbstractGangTask*)
        2126    0.00%        2  strcmp
        2119    0.00%        2  VMThread::loop()
        2115    0.00%        2  java.lang.Integer.getChars
        2088    0.00%        2  Dictionary::does_any_dictionary_needs_resizing()
        2088    0.00%        2  memset_erms_[k]
        2086    0.00%        2  get_page_from_freelist_[k]
        2082    0.00%        2  drm_get_last_vbltimestamp	[drm]_[k]
        2077    0.00%        2  radix_tree_lookup_[k]
        2077    0.00%        2  irq_may_run_[k]
        2071    0.00%        2  SYSC_getrusage_[k]
        2069    0.00%        2  ns_to_timespec64_[k]
        2069    0.00%        2  find_first_bit_[k]
        2069    0.00%        2  ktime_mono_to_any_[k]
        2067    0.00%        2  insert_work_[k]
        2066    0.00%        2  G1CollectedHeap::attempt_allocation_at_safepoint(unsigned long, bool)
        2065    0.00%        2  sched_clock_[k]
        2065    0.00%        2  account_system_time_[k]
        2064    0.00%        2  mix_pool_bytes_[k]
        2064    0.00%        2  schedule_hrtimeout_range_clock_[k]
        2062    0.00%        2  __x86_indirect_thunk_r14_[k]
        2062    0.00%        2  rcu_segcblist_accelerate_[k]
        2061    0.00%        2  cpumask_next_[k]
        2058    0.00%        2  __wake_up_sync_key_[k]
        2057    0.00%        2  run_rebalance_domains_[k]
        2056    0.00%        2  __x86_indirect_thunk_rcx_[k]
        2056    0.00%        2  drm_crtc_from_index	[drm]_[k]
        2052    0.00%        2  irq_work_run_list_[k]
        2052    0.00%        2  input_mt_report_slot_state_[k]
        2050    0.00%        2  sys_read_[k]
        2050    0.00%        2  java.lang.AbstractStringBuilder.append
        2049    0.00%        2  Unsafe_Park
        2049    0.00%        2  __mnt_want_write_[k]
        2048    0.00%        2  calc_global_load_tick_[k]
        2047    0.00%        2  ath10k_pci_interrupt_handler	[ath10k_pci]_[k]
        2047    0.00%        2  aa_check_perms_[k]
        2047    0.00%        2  kill_fasync_[k]
        2046    0.00%        2  JavaThread::nmethods_do(CodeBlobClosure*)
        2046    0.00%        2  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node.<init>
        2045    0.00%        2  __note_gp_changes_[k]
        2045    0.00%        2  page_frag_free_[k]
        2045    0.00%        2  AllocTracer::send_allocation_requiring_gc_event(unsigned long, unsigned int)
        2043    0.00%        2  scheduler_ipi_[k]
        2043    0.00%        2  ath10k_ce_completed_recv_next_nolock	[ath10k_pci]_[k]
        2042    0.00%        2  java.lang.Long.valueOf
        2041    0.00%        2  wake_q_add_[k]
        2040    0.00%        2  __intel_uncore_forcewake_get	[i915]_[k]
        2040    0.00%        2  key_put_[k]
        2039    0.00%        2  __pthread_testcancel
        2039    0.00%        2  java.lang.StringLatin1.getChars
        2038    0.00%        2  _raw_spin_unlock_bh_[k]
        2036    0.00%        2  pick_next_task_rt_[k]
        2034    0.00%        2  __libc_disable_asynccancel
        2033    0.00%        2  tcp_rack_advance_[k]
        2033    0.00%        2  java_lang_Class::oop_size(oopDesc*)
        2032    0.00%        2  sys_write_[k]
        2031    0.00%        2  dev_queue_xmit_[k]
        2030    0.00%        2  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite.set
        2030    0.00%        2  io.netty.buffer.SimpleLeakAwareByteBuf.newLeakAwareByteBuf
        2029    0.00%        2  org.HdrHistogram.Histogram.<init>
        2029    0.00%        2  I2C/C2I adapters
        2028    0.00%        2  tcp_small_queue_check.isra.28_[k]
        2028    0.00%        2  tcp_parse_md5sig_option_[k]
        2028    0.00%        2  org.HdrHistogram.PercentileIterator.incrementIterationLevel
        2028    0.00%        2  tick_program_event_[k]
        2028    0.00%        2  autoremove_wake_function_[k]
        2028    0.00%        2  io.netty.buffer.AbstractByteBuf.maxCapacity
        2027    0.00%        2  Thread::is_VM_thread() const
        2027    0.00%        2  TimePartitionPhasesIterator::has_next()
